time_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,pos_err_m,ang_err_deg
9.400000,-1.956700,-0.236866,1.402601,-1.957657,-0.242505,1.402600,0.005720,0.000045
10.600000,-1.912615,0.022759,1.402606,-1.913498,0.018223,1.406096,0.004622,0.199959
11.800000,-1.867978,0.285636,1.402609,-1.870212,0.278650,1.406099,0.007335,0.199958
13.000000,-1.824079,0.544176,1.402611,-1.837258,0.529131,1.416571,0.020001,0.799847
14.200000,-1.780071,0.803367,1.402614,-1.796669,0.790215,1.416574,0.021177,0.799846
15.400000,-1.734995,1.068847,1.402617,-1.756005,1.051064,1.413087,0.027525,0.599881
16.600000,-1.683253,1.324856,1.284965,-1.717555,1.300661,1.311853,0.041976,1.540522
17.800000,-1.573979,1.560295,0.932172,-1.602996,1.542245,0.951307,0.034172,1.096381
19.000000,-1.366674,1.730424,0.441566,-1.414420,1.713836,0.478499,0.050546,2.116095
20.200000,-1.111605,1.783150,-0.030513,-1.159482,1.775919,0.000526,0.048421,1.778405
21.400000,-0.852556,1.741387,-0.223690,-0.897947,1.740632,-0.202596,0.045398,1.208597
22.600000,-0.594513,1.696733,-0.111849,-0.637378,1.700429,-0.099489,0.043024,0.708194
23.800000,-0.325778,1.671700,-0.091018,-0.374244,1.679641,-0.073567,0.049112,0.999854
25.000000,-0.066862,1.652081,-0.030888,-0.120862,1.664152,-0.008861,0.055333,1.262051
26.200000,0.196636,1.649775,-0.006049,0.143047,1.668262,0.021871,0.056688,1.599690
27.400000,0.465251,1.648156,-0.006054,0.396982,1.684153,0.025356,0.077178,1.799664
28.600000,0.727540,1.632764,-0.118081,0.660963,1.677932,-0.082972,0.080452,2.011617
29.800000,0.983585,1.586945,-0.236243,0.922341,1.640334,-0.202933,0.081248,1.908484
31.000000,1.230537,1.494690,-0.538768,1.172542,1.557156,-0.494670,0.085237,2.526598
32.200000,1.409492,1.299254,-1.075343,1.348137,1.382825,-1.023194,0.103676,2.987897
33.400000,1.494981,1.050633,-1.349999,1.446120,1.148195,-1.307231,0.109113,2.450436
34.600000,1.542874,0.793193,-1.443089,1.515428,0.880903,-1.409480,0.091904,1.925636
35.800000,1.568131,0.524599,-1.483919,1.548635,0.618940,-1.452506,0.096333,1.799828
37.000000,1.590725,0.265101,-1.483914,1.580004,0.356810,-1.445524,0.092334,2.199583
38.200000,1.610233,0.004186,-1.537775,1.610166,0.104471,-1.493801,0.100286,2.519478
39.400000,1.604499,-0.264648,-1.619847,1.616338,-0.149518,-1.571069,0.115737,2.794772
40.600000,1.591650,-0.525912,-1.619892,1.616264,-0.413518,-1.571032,0.115058,2.799461
41.800000,1.578775,-0.787836,-1.619889,1.616084,-0.677518,-1.574519,0.116456,2.599509
43.000000,1.561163,-1.048683,-1.700164,1.610518,-0.941540,-1.652491,0.117964,2.731496
44.200000,1.477654,-1.304980,-2.115663,1.542965,-1.195618,-2.053088,0.127380,3.585308
45.400000,1.294383,-1.489681,-2.575504,1.379860,-1.392783,-2.513242,0.129212,3.567369
46.600000,1.056455,-1.596842,-2.840523,1.146132,-1.515073,-2.780681,0.121360,3.428667
47.800000,0.794611,-1.658122,-2.973374,0.892954,-1.590130,-2.920314,0.119558,3.040110
49.000000,0.533185,-1.686595,-3.092887,0.632310,-1.632538,-3.040326,0.112907,3.011511
50.200000,0.272696,-1.696927,-3.089936,0.369342,-1.655917,-3.043877,0.104987,2.639002
51.400000,0.011777,-1.725964,-2.975319,0.119018,-1.697450,-2.923540,0.110967,2.966682
52.600000,-0.252209,-1.770626,-2.973987,-0.138381,-1.755102,-2.918147,0.114882,3.199412
53.800000,-0.511602,-1.813699,-3.001032,-0.396214,-1.813032,-2.942086,0.115391,3.377340
55.000000,-0.772808,-1.822231,3.022135,-0.658831,-1.827621,3.084653,0.114105,3.582029
56.200000,-1.023608,-1.729334,2.576342,-0.910519,-1.753087,2.647975,0.115557,4.104282
57.400000,-1.235866,-1.560715,2.401071,-1.256399,-1.541176,2.399321,0.028344,0.100272
58.600000,-1.417663,-1.384685,2.367347,-1.444817,-1.356173,2.358296,0.039374,0.518543
59.800000,-1.608917,-1.197632,2.367356,-1.631797,-1.169801,2.354814,0.036029,0.718580
61.000000,-1.794794,-1.012531,2.307678,-1.817014,-0.981556,2.308476,0.038121,0.045692
62.200000,-1.947432,-0.797618,2.068217,-1.969892,-0.776546,2.068656,0.030798,0.025130
