time_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,pos_err_m,ang_err_deg
6.700000,-1.944141,-0.273094,1.324135,-1.946127,-0.271442,1.320644,0.002584,0.200050
7.800000,-1.886448,-0.019530,1.397749,-1.886323,-0.014743,1.391983,0.004788,0.330402
9.000000,-1.842251,0.239630,1.396426,-1.841094,0.235573,1.397212,0.004219,0.045036
10.300000,-1.785080,0.501260,1.344532,-1.785005,0.503384,1.344538,0.002126,0.000327
11.400000,-1.739453,0.759380,1.447324,-1.748495,0.753129,1.450145,0.010992,0.161586
12.600000,-1.697784,1.019012,1.355279,-1.707921,1.014040,1.357478,0.011290,0.125993
13.800000,-1.615839,1.268709,1.096273,-1.626951,1.264787,1.105456,0.011784,0.526118
15.100000,-1.452031,1.480868,0.729812,-1.478659,1.465468,0.752277,0.030760,1.287138
16.200000,-1.231371,1.617660,0.397875,-1.257617,1.608531,0.412887,0.027788,0.860146
17.400000,-0.977186,1.683745,0.111359,-1.003429,1.678812,0.125364,0.026703,0.802431
18.700000,-0.708729,1.682354,-0.086017,-0.739810,1.681392,-0.076435,0.031095,0.548979
19.800000,-0.448483,1.663055,-0.016784,-0.476532,1.664209,-0.011308,0.028073,0.313753
21.000000,-0.186043,1.677619,0.076897,-0.213360,1.680908,0.083867,0.027514,0.399362
22.300000,0.082956,1.691055,-0.004443,0.040230,1.696815,0.014212,0.043113,1.068879
23.500000,0.343638,1.674435,-0.123107,0.304023,1.694761,-0.105749,0.044525,0.994586
24.600000,0.603172,1.636565,-0.147431,0.565863,1.650701,-0.126491,0.039897,1.199779
25.800000,0.862348,1.598066,-0.147424,0.827753,1.617387,-0.126484,0.039625,1.199773
27.100000,1.128700,1.558297,-0.161186,1.089629,1.583856,-0.138577,0.046688,1.295401
28.200000,1.381879,1.498009,-0.341628,1.337841,1.538709,-0.307710,0.059965,1.943307
29.400000,1.609317,1.367593,-0.700141,1.580444,1.405505,-0.673503,0.047655,1.526248
30.700000,1.778912,1.161429,-1.065125,1.743748,1.217274,-1.026408,0.065993,2.218327
31.900000,1.863046,0.913114,-1.423508,1.847409,0.961278,-1.393271,0.050638,1.732442
33.000000,1.862832,0.651773,-1.691561,1.854284,0.707640,-1.668132,0.056516,1.342357
34.300000,1.815732,0.385917,-1.773753,1.814204,0.446641,-1.752893,0.060743,1.195163
35.500000,1.769764,0.127896,-1.722987,1.773009,0.186037,-1.698296,0.058232,1.414716
36.600000,1.717378,-0.127314,-1.802683,1.726777,-0.074151,-1.778276,0.053987,1.398376
37.800000,1.667493,-0.385735,-1.758035,1.683042,-0.324122,-1.728337,0.063545,1.701587
39.100000,1.611604,-0.649194,-1.782096,1.635712,-0.583889,-1.750872,0.069612,1.788975
40.200000,1.570663,-0.905914,-1.690412,1.601532,-0.845365,-1.662399,0.067964,1.605031
41.400000,1.515429,-1.161887,-1.899773,1.554086,-1.104903,-1.868254,0.068859,1.805920
42.700000,1.385540,-1.396843,-2.259351,1.445188,-1.339764,-2.222324,0.082558,2.121532
43.900000,1.185945,-1.566179,-2.617155,1.250747,-1.517282,-2.578738,0.081180,2.201134
45.000000,0.940496,-1.658517,-2.900851,1.007609,-1.618930,-2.866154,0.077919,1.987951
46.200000,0.684686,-1.705606,-3.014550,0.759648,-1.675377,-2.982818,0.080828,1.818152
47.500000,0.417145,-1.738450,-3.044315,0.488725,-1.715845,-3.012825,0.075064,1.804248
48.600000,0.156290,-1.751939,-3.106242,0.225528,-1.737185,-3.081798,0.070793,1.400548
49.800000,-0.106631,-1.770925,-3.048418,-0.037068,-1.762544,-3.016997,0.070066,1.800311
51.100000,-0.374963,-1.795994,-3.048437,-0.288994,-1.785566,-3.010047,0.086599,2.199596
52.300000,-0.635190,-1.820308,-3.048440,-0.540698,-1.830307,-3.006560,0.095019,2.399548
53.400000,-0.895749,-1.841686,-3.108074,-0.802721,-1.863102,-3.065221,0.095462,2.455321
54.700000,-1.161191,-1.805936,2.825636,-1.065069,-1.850648,2.880713,0.106012,3.155689
55.900000,-1.400137,-1.674741,2.452811,-1.401790,-1.677427,2.477099,0.003154,1.391617
57.000000,-1.563826,-1.484606,2.109986,-1.576673,-1.480640,2.117179,0.013445,0.412088
58.200000,-1.666904,-1.243870,1.895761,-1.681378,-1.238471,1.896923,0.015448,0.066583
59.500000,-1.759060,-0.992522,1.976380,-1.771872,-0.990941,1.970577,0.012910,0.332455
60.600000,-1.865409,-0.753039,1.963954,-1.878692,-0.749274,1.965048,0.013806,0.062708
