time_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,pos_err_m,ang_err_deg
11.900000,-1.950439,-0.242380,1.495915,-1.950972,-0.250717,1.488557,0.008353,0.421573
13.100000,-1.943594,0.019575,1.564591,-1.942715,0.012940,1.564623,0.006694,0.001849
14.200000,-1.931527,0.280050,1.467070,-1.931056,0.266740,1.472060,0.013318,0.285891
15.500000,-1.887386,0.545530,1.344811,-1.889345,0.537494,1.352099,0.008271,0.417601
16.700000,-1.812986,0.798672,1.224958,-1.826716,0.781379,1.232146,0.022081,0.411879
17.900000,-1.709841,1.039136,1.106100,-1.724235,1.024997,1.115579,0.020177,0.543111
19.000000,-1.574609,1.262206,0.916907,-1.599999,1.242035,0.936756,0.032427,1.137282
20.300000,-1.385556,1.454283,0.655025,-1.419140,1.444072,0.677076,0.035102,1.263456
21.500000,-1.154886,1.573794,0.300232,-1.187858,1.559915,0.324280,0.035774,1.377856
22.600000,-0.895385,1.607645,-0.009925,-0.917689,1.599687,0.005976,0.023681,0.911076
23.900000,-0.626048,1.597249,-0.034485,-0.653519,1.592706,-0.040857,0.027843,0.365126
25.100000,-0.363896,1.602501,0.048712,-0.389826,1.596605,0.052287,0.026592,0.204814
26.300000,-0.101914,1.609731,-0.022218,-0.135902,1.615426,-0.009449,0.034461,0.731581
27.500000,0.167585,1.604748,0.031485,0.127937,1.612791,0.037050,0.040456,0.318849
28.700000,0.426741,1.624504,0.073713,0.380803,1.635428,0.097746,0.047219,1.376956
29.900000,0.690124,1.628157,-0.046121,0.644682,1.645397,-0.022382,0.048603,1.360174
31.000000,0.950104,1.600649,-0.164893,0.917808,1.623366,-0.152824,0.039485,0.691537
32.300000,1.210778,1.535224,-0.379076,1.164835,1.563208,-0.353736,0.053795,1.451836
33.500000,1.432373,1.397142,-0.737635,1.391562,1.434393,-0.712327,0.055256,1.450088
34.700000,1.579252,1.181006,-1.213107,1.544703,1.221298,-1.184714,0.053076,1.626782
35.900000,1.622657,0.916756,-1.536585,1.594542,0.962674,-1.512441,0.053842,1.383354
37.100000,1.616214,0.655629,-1.649238,1.603804,0.698623,-1.635577,0.044749,0.782713
38.300000,1.591852,0.394476,-1.696405,1.582753,0.435411,-1.684789,0.041934,0.665524
39.400000,1.569455,0.133290,-1.598565,1.563052,0.172461,-1.587850,0.039690,0.613924
40.700000,1.577188,-0.136035,-1.509644,1.573249,-0.091060,-1.501066,0.045148,0.491496
41.900000,1.579782,-0.396327,-1.604558,1.589097,-0.345044,-1.588967,0.052123,0.893281
43.100000,1.570786,-0.659735,-1.604932,1.584346,-0.609001,-1.585737,0.052514,1.099784
44.300000,1.553050,-0.928261,-1.693073,1.572578,-0.872789,-1.672867,0.058809,1.157736
45.500000,1.503268,-1.184182,-1.861820,1.527779,-1.123003,-1.833103,0.065906,1.645336
46.700000,1.396382,-1.423780,-2.147788,1.427391,-1.366831,-2.117900,0.064844,1.712480
47.900000,1.211362,-1.618320,-2.514935,1.252523,-1.563655,-2.474363,0.068428,2.324612
49.100000,0.976928,-1.731279,-2.870661,1.019709,-1.687031,-2.834588,0.061548,2.066828
50.300000,0.717153,-1.768071,-3.086616,0.759938,-1.731957,-3.068163,0.055989,1.057249
51.400000,0.455953,-1.767056,3.086625,0.495902,-1.735596,3.102329,0.050849,0.899725
52.700000,0.187279,-1.755247,3.137564,0.232131,-1.727587,-3.140638,0.052694,0.285546
53.900000,-0.075349,-1.767389,-3.073383,-0.031258,-1.741705,-3.057681,0.051026,0.899622
55.000000,-0.335416,-1.783072,-3.116745,-0.284537,-1.772033,-3.095883,0.052063,1.195300
56.300000,-0.604583,-1.773313,3.044033,-0.548579,-1.758299,3.067327,0.057982,1.334663
57.500000,-0.864524,-1.732089,2.924453,-0.810274,-1.732969,2.947348,0.054258,1.311749
58.700000,-1.112824,-1.648942,2.700127,-1.062432,-1.655424,2.721431,0.050808,1.220603
59.900000,-1.348055,-1.513707,2.556312,-1.353420,-1.497800,2.554427,0.016787,0.108009
61.100000,-1.549627,-1.352049,2.335185,-1.549530,-1.342960,2.344400,0.009090,0.528004
62.300000,-1.695447,-1.133802,2.008737,-1.697754,-1.135290,2.016136,0.002745,0.423905
63.400000,-1.791061,-0.892133,1.889859,-1.795770,-0.880102,1.882513,0.012920,0.420907
