time_s,pos_err_m,ang_err_deg
1.300000,0.000020,0.000002
1.300000,0.000017,0.000003
1.300000,0.000019,0.000003
1.300000,0.000021,0.000004
1.300000,0.000023,0.000005
1.300000,0.000024,0.000005
1.300000,0.000019,0.000004
1.400000,0.000019,0.000004
1.400000,0.000021,0.000004
1.400000,0.000021,0.000003
1.400000,0.000018,0.000002
1.400000,0.000019,0.000002
1.400000,0.000015,0.000000
1.400000,0.000016,0.000000
1.400000,0.000018,0.000001
1.500000,0.000019,0.000002
1.500000,0.000020,0.000003
1.500000,0.000015,0.000002
1.500000,0.000016,0.000002
1.500000,0.000017,0.000003
1.500000,0.000019,0.000003
1.500000,0.000020,0.000003
1.500000,0.000020,0.000003
1.600000,0.000016,0.000003
1.600000,0.000017,0.000002
1.600000,0.000017,0.000002
1.600000,0.000018,0.000002
1.600000,0.000014,0.000004
1.600000,0.000014,0.000004
1.600000,0.000014,0.000004
1.600000,0.000014,0.000004
1.700000,0.000011,0.000003
1.700000,0.000011,0.000003
1.700000,0.000011,0.000003
1.700000,0.000011,0.000003
1.700000,0.000010,0.000003
1.700000,0.000009,0.000002
1.700000,0.000007,0.000000
1.700000,0.000007,0.000000
1.700000,0.000004,0.000002
1.800000,0.000003,0.000002
1.800000,0.000002,0.000003
1.800000,0.000002,0.000003
1.800000,0.000001,0.000003
1.800000,0.000001,0.000004
1.800000,0.000003,0.000004
1.800000,0.000004,0.000005
1.800000,0.000006,0.000005
1.900000,0.000007,0.000006
1.900000,0.000008,0.000006
1.900000,0.000010,0.000007
1.900000,0.000012,0.000008
1.900000,0.000013,0.000009
1.900000,0.000015,0.000010
1.900000,0.000017,0.000011
2.000000,0.000019,0.000012
2.000000,0.000020,0.000013
2.000000,0.000022,0.000015
2.000000,0.000024,0.000015
2.000000,0.000025,0.000016
2.000000,0.000026,0.000017
2.000000,0.000028,0.000018
2.000000,0.000029,0.000019
2.000000,0.000031,0.000019
2.100000,0.000031,0.000020
2.100000,0.000033,0.000021
2.100000,0.000035,0.000022
2.100000,0.000037,0.000023
2.100000,0.000037,0.000023
2.100000,0.000039,0.000025
2.100000,0.000041,0.000026
