time_s,pos_err_m,ang_err_deg
2.000000,0.000029,0.000014
2.000000,0.000027,0.000015
2.000000,0.000025,0.000016
2.000000,0.000023,0.000017
2.000000,0.000020,0.000016
2.000000,0.000019,0.000017
2.000000,0.000017,0.000018
2.000000,0.000016,0.000019
2.100000,0.000012,0.000019
2.100000,0.000011,0.000020
2.100000,0.000009,0.000021
2.100000,0.000009,0.000022
2.100000,0.000007,0.000022
2.100000,0.000006,0.000023
2.100000,0.000006,0.000024
2.100000,0.000005,0.000024
2.200000,0.000009,0.000025
2.200000,0.000010,0.000025
2.200000,0.000010,0.000025
2.200000,0.000010,0.000025
2.200000,0.000010,0.000025
2.200000,0.000009,0.000025
2.200000,0.000008,0.000025
2.200000,0.000008,0.000025
2.300000,0.000024,0.000029
2.300000,0.000023,0.000029
2.300000,0.000027,0.000028
2.300000,0.000026,0.000027
2.300000,0.000024,0.000027
2.300000,0.000023,0.000026
2.300000,0.000021,0.000025
2.300000,0.000019,0.000024
2.400000,0.000017,0.000023
2.400000,0.000023,0.000021
2.400000,0.000022,0.000020
2.400000,0.000021,0.000019
2.400000,0.000019,0.000019
2.400000,0.000018,0.000018
2.400000,0.000022,0.000021
2.400000,0.000021,0.000020
2.400000,0.000020,0.000019
2.500000,0.000019,0.000019
2.500000,0.000018,0.000019
2.500000,0.000020,0.000018
2.500000,0.000019,0.000018
2.500000,0.000020,0.000018
2.500000,0.000019,0.000018
2.500000,0.000018,0.000017
2.500000,0.000018,0.000017
2.600000,0.000018,0.000016
2.600000,0.000017,0.000016
2.600000,0.000017,0.000015
2.600000,0.000016,0.000015
2.600000,0.000016,0.000015
2.600000,0.000016,0.000014
2.600000,0.000015,0.000014
2.600000,0.000015,0.000014
2.600000,0.000014,0.000013
2.700000,0.000014,0.000013
2.700000,0.000014,0.000013
2.700000,0.000012,0.000012
2.700000,0.000012,0.000012
2.700000,0.000011,0.000011
2.700000,0.000011,0.000011
2.700000,0.000009,0.000010
2.700000,0.000009,0.000010
2.800000,0.000010,0.000011
2.800000,0.000010,0.000011
2.800000,0.000011,0.000011
2.800000,0.000009,0.000010
2.800000,0.000006,0.000009
2.800000,0.000007,0.000009
2.800000,0.000007,0.000009
2.800000,0.000008,0.000010
2.900000,0.000009,0.000011
2.900000,0.000002,0.000006
2.900000,0.000003,0.000007
2.900000,0.000004,0.000008
2.900000,0.000005,0.000008
2.900000,0.000007,0.000009
2.900000,0.000008,0.000010
2.900000,0.000010,0.000011
3.000000,0.000012,0.000012
3.000000,0.000002,0.000004
3.000000,0.000001,0.000005
3.000000,0.000000,0.000005
3.000000,0.000003,0.000003
3.000000,0.000003,0.000003
3.000000,0.000005,0.000002
3.000000,0.000004,0.000002
3.000000,0.000003,0.000003
3.100000,0.000005,0.000002
3.100000,0.000004,0.000002
3.100000,0.000004,0.000002
3.100000,0.000004,0.000002
3.100000,0.000004,0.000002
3.100000,0.000004,0.000002
3.100000,0.000005,0.000001
3.100000,0.000006,0.000000
3.200000,0.000006,0.000000
3.200000,0.000007,0.000000
3.200000,0.000008,0.000001
3.200000,0.000009,0.000002
3.200000,0.000010,0.000002
3.200000,0.000004,0.000000
3.200000,0.000005,0.000000
3.200000,0.000006,0.000001
3.300000,0.000003,0.000001
3.300000,0.000004,0.000000
3.300000,0.000005,0.000001
3.300000,0.000006,0.000002
3.300000,0.000003,0.000001
3.300000,0.000003,0.000000
3.300000,0.000001,0.000001
3.300000,0.000002,0.000001
3.400000,0.000002,0.000001
3.400000,0.000001,0.000003
3.400000,0.000001,0.000002
3.400000,0.000000,0.000002
3.400000,0.000003,0.000004
3.400000,0.000002,0.000004
3.400000,0.000005,0.000004
3.400000,0.000004,0.000004
3.500000,0.000004,0.000003
3.500000,0.000006,0.000004
3.500000,0.000006,0.000004
3.500000,0.000006,0.000004
3.500000,0.000008,0.000006
3.500000,0.000008,0.000006
3.500000,0.000009,0.000006
3.500000,0.000009,0.000007
3.500000,0.000010,0.000007
3.600000,0.000010,0.000007
3.600000,0.000011,0.000008
3.600000,0.000011,0.000008
3.600000,0.000012,0.000008
3.600000,0.000013,0.000008
3.600000,0.000013,0.000009
3.600000,0.000014,0.000009
3.600000,0.000014,0.000009
