time_s,pos_err_m,ang_err_deg
13.600000,0.007585,0.293104
14.800000,0.016076,0.267648
16.000000,0.025197,0.950610
17.200000,0.028834,0.968602
18.400000,0.028328,0.799576
19.600000,0.017487,0.573845
25.800000,0.019203,0.399877
27.000000,0.038884,1.670074
28.200000,0.028057,1.287386
29.400000,0.037356,1.166821
30.600000,0.032712,0.599099
31.800000,0.040425,0.999798
33.000000,0.050604,0.879137
34.200000,0.048697,1.274553
35.400000,0.048845,0.806206
36.600000,0.047885,0.931650
37.800000,0.047645,0.874347
39.000000,0.068798,1.512068
40.200000,0.077036,1.789393
41.400000,0.060641,1.361523
42.600000,0.072087,2.141563
43.800000,0.066684,1.574742
45.000000,0.060800,1.196647
46.200000,0.056589,1.113216
47.400000,0.059533,0.964826
48.600000,0.065552,1.167835
49.800000,0.063977,1.599734
51.000000,0.070716,2.021866
52.200000,0.067922,1.954378
53.400000,0.068722,1.737222
54.600000,0.089396,2.676947
55.800000,0.091256,3.199754
57.000000,0.075338,2.295732
58.200000,0.061943,1.698976
59.400000,0.060431,1.599047
60.600000,0.052984,1.645028
61.800000,0.058195,2.073473
63.100000,0.073723,1.064474
64.200000,0.071120,1.725257
65.400000,0.065033,2.554583
