time_s,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1754150884.736468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150884.841489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150884.939462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150885.036938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150885.137488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150885.238075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150885.338154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150885.438510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150885.538972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150885.639676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150885.742571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150885.840048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150885.940512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150886.040781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150886.141308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150886.242332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150886.342580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150886.443007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150886.543178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150886.643669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150886.744006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150886.846705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150886.944957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150887.045957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150887.146507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150887.247859,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150887.346536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150887.446791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150887.547083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150887.649582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150887.749588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150887.850117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150887.951348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150888.050300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150888.150480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150888.250751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150888.351085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150888.452790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150888.552321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150888.652783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150888.752858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150888.853366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150888.953661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150889.054149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150889.154374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150889.255184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150889.355778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150889.455537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150889.556111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150889.656340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150889.756860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150889.857237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150889.957516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150890.057803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150890.159520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150890.259808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150890.360162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150890.461510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150890.560926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150890.661671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150890.762113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150890.864647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150890.962830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150891.063242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150891.163620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150891.264565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150891.364836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150891.464978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150891.565626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150891.665943,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150891.766311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150891.866739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150891.967212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150892.067519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150892.167883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150892.268831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150892.369163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150892.470046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150892.570380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150892.671820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150892.772468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150892.872630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150892.973038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150893.073458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150893.173646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150893.274037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150893.296578,0.000000,0.000000,0.000000,0.000000,0.000000,0.050000
1754150893.396845,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150893.497200,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150893.597689,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150893.697931,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000
1754150893.796750,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000
1754150893.828259,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000
1754150893.858917,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000
1754150893.888050,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000
1754150893.916287,0.000000,0.000000,0.000000,0.000000,0.000000,0.350000
1754150893.946699,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000
1754150893.975318,0.000000,0.000000,0.000000,0.000000,0.000000,0.450000
1754150894.005535,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000
1754150894.036605,0.000000,0.000000,0.000000,0.000000,0.000000,0.550000
1754150894.066750,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000
1754150894.098544,0.000000,0.000000,0.000000,0.000000,0.000000,0.650000
1754150894.128589,0.000000,0.000000,0.000000,0.000000,0.000000,0.700000
1754150894.157832,0.000000,0.000000,0.000000,0.000000,0.000000,0.750000
1754150894.187803,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000
1754150894.287591,0.000000,0.000000,0.000000,0.000000,0.000000,0.850000
1754150894.387571,0.000000,0.000000,0.000000,0.000000,0.000000,0.900000
1754150894.487887,0.000000,0.000000,0.000000,0.000000,0.000000,0.950000
1754150894.588313,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1754150894.688599,0.000000,0.000000,0.000000,0.000000,0.000000,1.050000
1754150894.788985,0.000000,0.000000,0.000000,0.000000,0.000000,1.100000
1754150894.889260,0.000000,0.000000,0.000000,0.000000,0.000000,1.150000
1754150894.989967,0.000000,0.000000,0.000000,0.000000,0.000000,1.200000
1754150895.089815,0.000000,0.000000,0.000000,0.000000,0.000000,1.250000
1754150895.190049,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000
1754150895.290570,0.000000,0.000000,0.000000,0.000000,0.000000,1.350000
1754150895.318432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150895.418819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150895.519955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150895.619668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150895.655364,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150895.755470,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150895.855765,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150895.956060,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.056291,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.155899,0.015000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.187241,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.215819,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.246940,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.277038,0.035000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.307152,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.338379,0.045000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.371974,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.400063,0.055000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.427840,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.458013,0.065000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.488208,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.518435,0.075000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.548937,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.580448,0.085000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.611335,0.090000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.643927,0.095000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.671861,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.702049,0.105000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.731118,0.110000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.762505,0.115000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.792316,0.120000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.822062,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.852159,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.881989,0.135000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.914157,0.140000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.943935,0.145000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150896.973404,0.150000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.005166,0.155000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.033595,0.160000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.063574,0.165000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.094513,0.170000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.124201,0.175000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.156689,0.180000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.187305,0.185000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.219106,0.190000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.249127,0.195000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.279742,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.308969,0.205000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.337603,0.210000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.368679,0.215000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.398174,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.429219,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.461540,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.494043,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.531122,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.559325,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.584980,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.615308,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.644674,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.673431,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.703856,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.734152,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.765144,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.797163,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.825838,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.855669,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.891511,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.916218,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.948701,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150897.977361,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150898.008519,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150898.037955,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150898.067817,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150898.098495,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150898.130382,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150898.160745,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150898.187685,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
1754150898.218552,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000
