time_s,pos_err_m,ang_err_deg
1.500000,0.000011,0.000004
1.500000,0.000008,0.000003
1.500000,0.000009,0.000003
1.500000,0.000009,0.000003
1.600000,0.000010,0.000003
1.600000,0.000009,0.000002
1.600000,0.000009,0.000002
1.600000,0.000008,0.000001
1.600000,0.000008,0.000001
1.600000,0.000005,0.000000
1.600000,0.000005,0.000000
1.600000,0.000003,0.000000
1.700000,0.000003,0.000000
1.700000,0.000003,0.000001
1.700000,0.000003,0.000001
1.700000,0.000001,0.000001
1.700000,0.000000,0.000001
1.700000,0.000000,0.000001
1.700000,0.000001,0.000002
1.700000,0.000002,0.000002
1.800000,0.000003,0.000003
1.800000,0.000004,0.000003
1.800000,0.000005,0.000004
1.800000,0.000006,0.000004
1.800000,0.000007,0.000005
1.800000,0.000007,0.000006
1.800000,0.000008,0.000006
1.800000,0.000010,0.000007
1.900000,0.000011,0.000007
1.900000,0.000012,0.000008
1.900000,0.000013,0.000009
1.900000,0.000014,0.000009
1.900000,0.000016,0.000010
1.900000,0.000017,0.000011
1.900000,0.000018,0.000012
1.900000,0.000020,0.000013
2.000000,0.000021,0.000013
2.000000,0.000022,0.000014
2.000000,0.000023,0.000014
2.000000,0.000025,0.000016
2.000000,0.000027,0.000017
2.000000,0.000027,0.000017
2.000000,0.000029,0.000018
2.000000,0.000029,0.000018
2.100000,0.000030,0.000019
2.100000,0.000032,0.000020
2.100000,0.000034,0.000021
2.100000,0.000035,0.000022
2.100000,0.000037,0.000023
2.100000,0.000035,0.000022
2.100000,0.000036,0.000023
2.100000,0.000034,0.000022
2.200000,0.000035,0.000022
2.200000,0.000035,0.000023
2.200000,0.000032,0.000021
2.200000,0.000032,0.000021
2.200000,0.000032,0.000021
2.200000,0.000028,0.000019
2.200000,0.000028,0.000019
2.200000,0.000027,0.000019
2.300000,0.000027,0.000019
2.300000,0.000022,0.000016
2.300000,0.000021,0.000015
2.300000,0.000020,0.000015
2.300000,0.000013,0.000011
2.300000,0.000012,0.000010
2.300000,0.000010,0.000009
2.300000,0.000009,0.000009
2.400000,0.000001,0.000004
2.400000,0.000000,0.000003
2.400000,0.000002,0.000002
2.400000,0.000004,0.000001
2.400000,0.000010,0.000003
2.400000,0.000012,0.000004
2.400000,0.000013,0.000005
2.400000,0.000018,0.000008
2.500000,0.000020,0.000009
2.500000,0.000021,0.000010
2.500000,0.000024,0.000012
2.500000,0.000026,0.000013
2.500000,0.000027,0.000013
2.500000,0.000028,0.000013
2.500000,0.000030,0.000014
2.500000,0.000031,0.000014
2.600000,0.000031,0.000015
2.600000,0.000032,0.000016
2.600000,0.000033,0.000017
2.600000,0.000033,0.000017
2.600000,0.000034,0.000018
2.600000,0.000033,0.000018
2.600000,0.000033,0.000018
2.600000,0.000034,0.000018
2.700000,0.000034,0.000018
2.700000,0.000032,0.000017
2.700000,0.000032,0.000017
2.700000,0.000032,0.000017
2.700000,0.000028,0.000015
2.700000,0.000028,0.000015
2.700000,0.000028,0.000014
2.800000,0.000027,0.000014
2.800000,0.000022,0.000011
2.800000,0.000022,0.000011
2.800000,0.000022,0.000011
2.800000,0.000016,0.000008
2.800000,0.000016,0.000007
2.800000,0.000015,0.000007
2.800000,0.000011,0.000005
2.800000,0.000010,0.000004
2.900000,0.000008,0.000003
2.900000,0.000007,0.000002
2.900000,0.000003,0.000001
2.900000,0.000002,0.000001
2.900000,0.000001,0.000002
2.900000,0.000004,0.000004
2.900000,0.000005,0.000005
2.900000,0.000006,0.000006
3.000000,0.000011,0.000007
3.000000,0.000012,0.000008
3.000000,0.000014,0.000009
3.000000,0.000015,0.000010
3.000000,0.000019,0.000012
3.000000,0.000020,0.000013
3.000000,0.000022,0.000014
3.100000,0.000025,0.000016
3.100000,0.000026,0.000017
3.100000,0.000026,0.000017
3.100000,0.000028,0.000018
3.100000,0.000028,0.000019
3.100000,0.000029,0.000019
3.100000,0.000029,0.000019
3.100000,0.000030,0.000019
3.200000,0.000030,0.000019
3.200000,0.000030,0.000019
3.200000,0.000029,0.000019
3.200000,0.000029,0.000018
